Word,Num_Occurances,Freq,Sentiment
transformations,1,0.14027,0.0
happened,1,0.14027,0.0
started,1,0.14027,0.0
questions,1,0.14027,0.0
holding,1,0.14027,0.0
share,1,0.14027,0.296
struggles,1,0.14027,-0.3612
help,1,0.14027,0.4019
running,1,0.14027,0.0
learning,1,0.14027,0.0
lean,1,0.14027,0.0
painful,1,0.14027,-0.4404
process,1,0.14027,0.0
opt,1,0.14027,0.0
happended—when,1,0.14027,0.0
phone,1,0.14027,0.0
rang,1,0.14027,0.0
unimaginable,1,0.14027,0.0
news,1,0.14027,0.0
scared,1,0.14027,-0.4404
loved,1,0.14027,0.5994
fiercely,1,0.14027,0.0
prepare,1,0.14027,0.0
loss—i,1,0.14027,0.0
controlled,1,0.14027,0.0
required,1,0.14027,0.0
small,1,0.14027,0.0
quiet,1,0.14027,0.0
draw,1,0.14027,0.0
attention,1,0.14027,0.0
imperfections,1,0.14027,0.0
looked,1,0.14027,0.0
steve,1,0.14027,0.0
isnt,1,0.14027,0.0
uninhibited,1,0.14027,0.0
honestly,1,0.14027,0.4588
rarely,1,0.14027,0.0
risked,1,0.14027,-0.2263
always,1,0.14027,0.0
steered,1,0.14027,0.0
silly,1,0.14027,0.0258
never,1,0.14027,0.0
dawned,1,0.14027,0.0
adults,1,0.14027,0.0
loeved,1,0.14027,0.0
despite,1,0.14027,0.0
simply,1,0.14027,0.0
journey,1,0.14027,0.0
2010,1,0.14027,0.0
2011,1,0.14027,0.0
walking,1,0.14027,0.0
unprepared,1,0.14027,0.0
discovered,1,0.14027,0.0
happily,1,0.14027,0.5574
moved,1,0.14027,0.0
that’s,1,0.14027,0.0
downer,1,0.14027,0.0
topic,1,0.14027,0.0
upside,1,0.14027,0.0
guess,1,0.14027,0.0
realized,1,0.14027,0.0
last,1,0.14027,0.0
resilience,1,0.14027,0.0
awareness,1,0.14027,0.0
cannot,1,0.14027,0.0
needed,1,0.14027,0.0
reason,1,0.14027,0.0
ever,1,0.14027,0.0
absolutely,1,0.14027,0.0
essential,1,0.14027,0.0
can’t,1,0.14027,0.0
culture,1,0.14027,0.0
reflexive,1,0.14027,0.0
cynicism,1,0.14027,-0.4019
mentioned,1,0.14027,0.0
received,1,0.14027,0.0
attacks,1,0.14027,-0.4404
negative,1,0.14027,-0.5719
lot,1,0.14027,0.0
constructive,1,0.14027,0.0
hear,1,0.14027,0.0
shouldn’t,1,0.14027,0.0
talking,1,0.14027,0.0
unless,1,0.14027,0.0
construct,1,0.14027,0.0
truth,1,0.14027,0.3182
yet,1,0.14027,0.0
defined,1,0.14027,0.0
lost,1,0.14027,-0.3182
engagement,1,0.14027,0.4588
definitely,1,0.14027,0.4019
midst,1,0.14027,0.0
dealing,1,0.14027,0.0
worthwhile,1,0.14027,0.34
pressing,1,0.14027,0.0
bottom,1,0.14027,0.0
line,1,0.14027,0.0
attendance,1,0.14027,0.0
standardized,1,0.14027,0.0
test,1,0.14027,0.0
scores,1,0.14027,0.0
mistaken,1,0.14027,-0.3612
since,1,0.14027,0.0
sessions,1,0.14027,0.0
saw,1,0.14027,0.0
fellows,1,0.14027,0.0
talks,1,0.14027,0.0
touch,1,0.14027,0.0
difference,1,0.14027,0.0
results,1,0.14027,0.0
see,1,0.14027,0.0
innovation,1,0.14027,0.3818
incredible,1,0.14027,0.0
music,1,0.14027,0.0
expected,1,0.14027,0.0
outcome,1,0.14027,0.0
opinion,1,0.14027,0.0
human,1,0.14027,0.0
potential,1,0.14027,0.0
willingness,1,0.14027,0.2732
veterans,1,0.14027,0.0
population,1,0.14027,0.0
interested,1,0.14027,0.4019
police,1,0.14027,0.0
officers,1,0.14027,0.0
firefighters,1,0.14027,0.0
basically,1,0.14027,0.0
pay,1,0.14027,-0.1027
invulnerable,1,0.14027,0.3182
return,1,0.14027,0.0
whether,1,0.14027,0.0
night,1,0.14027,0.0
home,1,0.14027,0.0
tour,1,0.14027,0.0
capacity,1,0.14027,0.0
falling,1,0.14027,-0.1531
apart,1,0.14027,0.0
girlfriends,1,0.14027,0.0
big,1,0.14027,0.0
fans,1,0.14027,0.0
chance,1,0.14027,0.25
came,1,0.14027,0.0
advice,1,0.14027,0.0
give,1,0.14027,0.0
feels,1,0.14027,0.0
blank,1,0.14027,0.0
go,1,0.14027,0.0
living,1,0.14027,0.0
authentically,1,0.14027,0.0
underpinned,1,0.14027,0.0
figure,1,0.14027,0.0
stuff,1,0.14027,0.0
deconstruct,1,0.14027,0.0
works,1,0.14027,0.0
outsmart,1,0.14027,0.0
common,1,0.14027,0.0
fully,1,0.14027,0.0
embraced,1,0.14027,0.0
believed,1,0.14027,0.0
beautiful,1,0.14027,0.5994
didnt,1,0.14027,0.0
comfortable,1,0.14027,0.5106
heard,1,0.14027,0.0
earlier,1,0.14027,0.0
interviewing,1,0.14027,0.0
mission,1,0.14027,0.0
control,1,0.14027,0.0
predict,1,0.14027,0.0
turned,1,0.14027,0.0
controlling,1,0.14027,0.0
predicting,1,0.14027,0.0
core,1,0.14027,0.0
struggle,1,0.14027,-0.3182
appears,1,0.14027,0.0
birthplace,1,0.14027,0.0
tenderness,1,0.14027,0.4215
important,1,0.14027,0.2023
surrender,1,0.14027,0.0
walk,1,0.14027,0.0
went,1,0.14027,0.0
next,1,0.14027,0.0
years,1,0.14027,0.0
trying,1,0.14027,0.0
whole-hearted,1,0.14027,0.0
choices,1,0.14027,0.0
making,1,0.14027,0.0
alone,1,0.14027,-0.25
struggling,1,0.14027,-0.4215
waiting,1,0.14027,0.0
sent,1,0.14027,0.0
something,1,0.14027,0.0
twitter,1,0.14027,0.0
facebook,1,0.14027,0.0
ways,1,0.14027,0.0
deal,1,0.14027,0.0
disappointment,1,0.14027,-0.5106
miserable,1,0.14027,-0.4939
looking,1,0.14027,0.0
beers,1,0.14027,0.0
banana,1,0.14027,0.0
nut,1,0.14027,0.0
muffin,1,0.14027,0.0
deeply,1,0.14027,0.0
whole,1,0.14027,0.0
hearts,1,0.14027,0.0
guarantee,1,0.14027,0.25
tell,1,0.14027,0.0
practice,1,0.14027,0.0
terror,1,0.14027,-0.5267
wondering,1,0.14027,0.0
able,1,0.14027,0.0
instead,1,0.14027,0.0
catastrophizing,1,0.14027,0.0
might,1,0.14027,0.0
say,1,0.14027,0.0
grateful,1,0.14027,0.4588
means,1,0.14027,0.0
alive,1,0.14027,0.3818
